Year,ARBID,FACID,Facility,Primary Sector,NAICS Code,NAICS Description,Address,City,State,Zip Code,Latitude,Longitude,Tract,County,District,Basin,Cap-and-Trade,Total GHG,Non-Biomass GHG,Biomass CO2,CO2,CH4,N2O,Covered GHG,VOC,NOx,SOx,PM10,PM2.5,Benzene,13-Butadiene,Chromium Hexavalent,Diesel PM,Formaldehyde,Hydrochloric Acid,Hydrogen Sulfide,Nickel
"2019","100997","18452","University of California, Los Angeles, UCLA","Other Combustion Source","611310","Colleges, Universities, and Professional Schools","405 Hilgard Ave. , Los Angeles, CA 90095","Los Angeles","California","90095","34.071","-118.445","CA06037265301","Los Angeles","South Coast AQMD","South Coast","Yes","226,127","226,127","0","225,906","4.26","0.43","226,124","17.9","32.1","0.9","15.8","13.8","54","5.16","0.002","534","4,092","3.02","","0.063"
"2019","101004","800075","Los Angeles Department of Water & Power-Scattergood Generating Station (LADWP)","Cogeneration","221112","Fossil Fuel Electric Power Generation","12700 Vista Del Mar , Playa del Rey, CA 90293","Playa del Rey","California","90293","33.919","-118.429","CA06037980028","Los Angeles","South Coast AQMD","South Coast","Yes","528,081","528,081","0","527,563","9.96","1","528,081","8.2","33.5","1.3","8.8","8.7","18.1","4.04","0.003","7.04","808","","","0.003"
"2019","101056","","Paramount Petroleum Corporation ","Refinery","325199","All Other Basic Organic Chemical Manufacturing","14700 Downey Avenue , Paramount, CA 90723","Paramount","California","90723","33.9","-118.15","CA06037553502","Los Angeles","South Coast AQMD","South Coast","No","27,502","8,168","19,335","27,380","1.49","0.29","0","0","0","0","0","0","","","","","","","",""
"2019","101162","800080","Lunday-Thagard Company, DBA World Oil Refining","Refinery","324110","Petroleum Refineries","9301 Garfield Ave. , South Gate, CA 90280","South Gate","California","90280","33.947","-118.167","CA06037536102","Los Angeles","South Coast AQMD","South Coast","Yes","37,832","37,832","0","37,641","7.61","0.1","37,114","17.1","27.6","18","8.6","7.5","31.9","0.694","0.001","23.8","14.8","0.132","","0.11"
"2019","101205","800026","Ultramar Inc - Valero Wilmington","Refinery","324110","Petroleum Refineries","2402 E Anaheim St , Wilmington, CA 90744","Wilmington","California","90744","33.781","-118.23","CA06037980014","Los Angeles","South Coast AQMD","South Coast","Yes","1,135,876","1,135,876","0","1,131,170","97.13","8.6","1,135,440","225.3","305.7","121","80.4","76.8","1,012","157","2.42","219","4,226","799","6,145","41.4"
"2019","101246","800436","Tesoro Refining & Marketing Company LLC - Los Angeles Refinery - Carson ","Refinery","324110","Petroleum Refineries","Carson One Campus, 2530 E. 223rd street , Carson, CA 90810","Carson","California","90810","33.824","-118.233","CA06037980002","Los Angeles","South Coast AQMD","South Coast","Yes","5,918,258","5,918,258","0","5,901,592","267.67","35.63","5,914,846","674.8","1,262","601.1","439.9","374.4","2,805.4","72.52","1.213","870","9,506","31,507","11,643","185.25"
"2019","101248","3417","Air Products Carson Hydrogen Plant","Hydrogen Plant","325120","Industrial Gas Manufacturing","23300 S. Alameda St. , Carson, CA 90810","Carson","California","90810","33.813","-118.233","CA06037980002","Los Angeles","South Coast AQMD","South Coast","Yes","698,707","698,707","0","698,514","1.94","0.49","698,707","9.5","15.7","0.2","3.8","3","26.2","","","","57","","",""
"2019","101297","155877","MillerCoors USA LLC.","Other Combustion Source","312120","Breweries","15801 East 1st Street , Irwindale, CA 91706","Irwindale","California","91706","34.126","-117.939","CA06037404600","Los Angeles","South Coast AQMD","South Coast","No","21,574","18,220","3,354","21,539","0.55","0.07","0","62.3","7.1","0.2","4.7","3.4","3.6","0.73","0","15.7","75.1","","","0.102"
"2019","101321","115394","AES Alamitos, LLC","Electricity Generation","221112","Fossil Fuel Electric Power Generation","690 N. Studebaker Rd , Long Beach, CA 90803","Long Beach","California","90803","33.766","-118.105","CA06037980007","Los Angeles","South Coast AQMD","South Coast","Yes","531,188","531,188","0","530,675","9.87","0.99","531,188","29.2","43.7","3","34.3","34.3","33.6","0.723","","","1,211","","","0"
"2019","101323","800335","Los Angeles International Airport (LAX)","Other Combustion Source","488119","Other Airport Operations","275 Center Way , Los Angeles, CA 90045","Los Angeles","California","90045","33.944","-118.405","CA06037980028","Los Angeles","South Coast AQMD","South Coast","Yes","26,290","26,290","0","26,264","0.5","0.05","26,290","9.8","8.5","0.2","2.6","2.5","20.9","7.43","0.002","816","435","","","0.283"
"2019","101325","","Los Angeles Department of Water & Power-Valley Generating Station (LADWP)","Electricity Generation","221112","Fossil Fuel Electric Power Generation","11801 Sheldon St , Sun Valley, CA 91352","Sun Valley","California","91352","34.242","-118.39","CA06037121102","Los Angeles","South Coast AQMD","South Coast","Yes","865,304","865,304","0","864,454","16.34","1.63","865,150","0","0","0","0","0","0","0","0","","0","","","0"
"2019","101327","42514","LACSD - Calabasas LF","Electricity Generation","562212","Solid Waste Landfill","5300 Lost Hills Road , Agoura, CA 91301","Agoura","California","91301","34.148","-118.72","CA06037800328","Los Angeles","South Coast AQMD","South Coast","No","30,270","152","30,118","30,118","1.85","0.36","0","1.9","6.7","19.1","4.8","4.8","59.3","0.03","0","2.52","20.6","","","0.001"
"2019","101349","800128","Southern California Gas Co - Aliso Canyon Facility","Oil and Gas Production","486210","Pipeline Transportation of Natural Gas","12801 Tampa Avenue , Northridge, CA 91326","Northridge","California","91326","34.308","-118.552","CA06037920303","Los Angeles","South Coast AQMD","South Coast","Yes","10,402","10,402","0","7,236","150.56","0.01","8,141","12.8","7.5","0","0.7","0.7","203","43.6","0","24.9","4,070","","","0.003"
"2019","101358","","Northrop Grumman - Palmdale","Other Combustion Source","336411","Aircraft Manufacturing","3520 E Avenue M , Palmdale, CA 93550","Palmdale","California","93550","34.642","-118.071","CA06037980004","Los Angeles","Antelope Valley AQMD","Mojave Desert","No","15,366","15,366","0","15,351","0.29","0.03","0","0","0","0","0","0","","","","","","","",""
"2019","101373","42633","LACSD - Spadra Landfill","Electricity Generation","562212","Solid Waste Landfill","4125 W. Valley Boulevard , Walnut, CA 91789","Walnut","California","91789","34.037","-117.825","CA06037402403","Los Angeles","South Coast AQMD","South Coast","No","0","0","0","0","0","0","0","1.2","8.6","3","3.1","3.1","4.54","0.157","0","11.7","2.59","","","0.003"
"2019","101473","16642","Anheuser-Busch LLC - Los Angeles Brewery","Other Combustion Source","312120","Breweries","15800 Roscoe Blvd. , Van Nuys, CA 91406","Van Nuys","California","91406","34.221","-118.477","CA06037127400","Los Angeles","South Coast AQMD","South Coast","Yes","40,309","34,222","6,087","40,245","1.02","0.14","34,222","79.3","11.8","2.5","8","3","2.28","0.02","0","3.1","7","0.017","","0"
"2019","101475","7427","Owens-Brockway Glass Container, Vernon","Other Combustion Source","327213","Glass Container Manufacturing","2901 Fruitland Ave , Vernon, CA 90058","Vernon","California","90058","33.997","-118.217","CA06037532400","Los Angeles","South Coast AQMD","South Coast","Yes","58,657","58,657","0","58,613","0.85","0.09","58,657","4.1","28.3","42.1","27.5","24.5","5.27","0.221","0.128","34","12.5","0.189","","6.34"
"2019","101484","113873","MM West Covina LLC","Electricity Generation","221119","Other Electric Power Generation","2210 S. Azusa Avenue , West Covina, CA 91792","West Covina","California","91792","34.035","-117.913","CA06037408006","Los Angeles","South Coast AQMD","South Coast","No","39,599","273","39,326","39,400","2.42","0.48","0","0.6","9.5","1.7","4.7","4.7","0.002","","1.9","","356","","","306"
"2019","101487","800236","LACSD - Joint Water Pollution Control Plant","Electricity Generation","221320","Sewage Treatment Facilities","24501 S. Figueroa St , Carson, CA 90745","Carson","California","90745","33.803","-118.284","CA06037543604","Los Angeles","South Coast AQMD","South Coast","No","103,149","9,549","93,599","102,668","5.92","1.15","0","19.9","69.9","6.6","8.4","8.4","310","27.4","0.001","73.3","204","","","0.05"
"2019","101537","17104","Southern California Edison (SCE) - Center Hybrid","Electricity Generation","221112","Fossil Fuel Electric Power Generation","10601 E Firestone Blvd , Norwalk, CA 90650","Norwalk","California","90650","33.93","-118.105","CA06037550300","Los Angeles","South Coast AQMD","South Coast","No","6,873","6,873","0","6,866","0.13","0.01","0","0.2","0.6","0","0.7","0.7","1.51","0.074","0","2.66","88.8","","","0"
"2019","101574","","Lockheed Martin Aeronautics Company - Palmdale","Other Combustion Source","336411","Aircraft Manufacturing","1011 Lockheed Way , Palmdale, CA 93599","Palmdale","California","93599","34.613","-118.115","CA06037980004","Los Angeles","Antelope Valley AQMD","Mojave Desert","No","18,166","18,166","0","18,148","0.34","0.03","0","0","0","0","0","0","","","","","","","",""
"2019","101673","4477","Southern California Edison (SCE) - Pebbly Beach","Electricity Generation","221112","Fossil Fuel Electric Power Generation","1 Pebbly Beach Rd , Avalon, CA 90704","Avalon","California","90704","33.336","-118.311","CA06037599100","Los Angeles","South Coast AQMD","South Coast","No","22,835","22,835","0","22,758","0.93","0.19","0","0.5","51.8","0.3","3.7","3.6","400","466","0.214","3,171","3,702","400","","8.36"
"2019","101691","","Clougherty Packing, LLC","Other Combustion Source","311613","Rendering and Meat Byproduct Processing","3049 E Vernon Ave , Vernon, CA 90058","Vernon","California","90058","34.005","-118.219","CA06037532400","Los Angeles","South Coast AQMD","South Coast","No","22,961","22,961","0","22,939","0.43","0.04","0","0","0","0","0","0","","","","","","","",""
"2019","101697","12428","New NGC, Inc - Long Beach","Other Combustion Source","327420","Gypsum Product Manufacturing","1850 Pier B Street , Long Beach, CA 90813","Long Beach","California","90813","33.78","-118.218","CA06037980033","Los Angeles","South Coast AQMD","South Coast","Yes","35,055","35,055","0","35,020","0.66","0.07","35,055","3.9","13.1","0.2","29.3","16.5","5.02","","","","10.7","","",""
"2019","101701","148236","Air Liquide El Segundo Hydrogen Plant","Hydrogen Plant","325120","Industrial Gas Manufacturing","214 Main Street , El Segundo, CA 90245","El Segundo","California","90245","33.916","-118.419","CA06037620102","Los Angeles","South Coast AQMD","South Coast","Yes","604,877","604,877","0","604,387","9.48","0.94","604,877","6.5","11.7","0.6","3.9","3.7","5.68","0.254","0","","326","","","8.6"
"2019","101709","800037","DeMenno/Kerdoon","Other Combustion Source","324199","All Other Petroleum and Coal Products Manufacturing","2000 North Alameda Street , Compton, CA 90222","Compton","California","90222","33.91","-118.221","CA06037541603","Los Angeles","South Coast AQMD","South Coast","Yes","25,456","25,456","0","25,431","0.48","0.05","25,456","5.2","19.9","0.2","2.3","2.1","8.24","1.07","0.047","9.04","10.6","0.05","",""
"2019","101734","22911","Carlton Forge Works","Other Combustion Source","332112","Nonferrous Forging","7743 E. Adams St. , Paramount, CA 90723","Paramount","California","90723","33.895","-118.164","CA06037553801","Los Angeles","South Coast AQMD","South Coast","Yes","39,179","39,179","0","39,141","0.74","0.07","39,179","12.8","27","0.2","3.3","3.1","19.3","","0.124","","12.1","","","0.563"
"2019","104027","140373","Ameresco Chiquita Energy LLC","Electricity Generation","221117","Biomass Electric Power Generation","29201 Henry Mayo Dr , Castaic, CA 91384","Castaic","California","91384","34.432","-118.643","CA06037920106","Los Angeles","South Coast AQMD","South Coast","No","32,007","161","31,847","31,847","1.96","0.39","0","1.3","8","7.5","2.9","2.9","10.4","0","0","","174","","","0"
"2019","104072","136965","California Resources Production Corporation - 760 Los Angeles Basin","Oil and Gas Production","211111","Crude Petroleum and Natural Gas Extraction","1 World Trade Center #1500 , Long Beach, CA 90802","Long Beach","California","90802","33.768","-118.193","CA06037576001","Los Angeles","South Coast AQMD","South Coast","Yes","230,276","230,276","0","224,755","256.67","0.42","222,766","20.5","7.4","0.1","2","2","183.5","5.221","0","56.63","289.7","0.315","","0.009"
"2019","104075","150203","Breitburn Operating LP - Los Angeles Basin Facility","Oil and Gas Production","211111","Crude Petroleum and Natural Gas Extraction","12720 Telegraph Road , Santa Fe Springs, CA 90670","Los Angeles","California","90670","34.051","-118.257","CA06037207710","Los Angeles","South Coast AQMD","South Coast","Yes","16,598","16,598","0","15,448","54.31","0.03","16,432","34.4","19","0.2","1","1","589.81","41.364","0","42.65","3,361.78","","0","0.006"
"2019","104077","128243","BWP/MPP Electricity Generating Facilities at 164 W. Magnolia","Electricity Generation","221112","Fossil Fuel Electric Power Generation","164 W. Magnolia , Burbank, CA 91503","Burbank","California","91503","34.178","-118.314","CA06037310800","Los Angeles","South Coast AQMD","South Coast","Yes","631,345","631,345","0","630,736","11.7","1.17","631,345","3","31.6","0.5","6.1","6","136","4.87","0","","8,045","","","0.007"
"2019","104082","","Southern California Gas Co - Distribution","Oil and Gas Production","221210","Natural Gas Distribution","555 West 5th Street , Los Angeles, CA 90013","Los Angeles","California","90013","34.05","-118.253","CA06037207502","Los Angeles","South Coast AQMD","South Coast","No","1,359,770","1,359,770","0","2,084","64,651.73","0","0","0","0","0","0","0","","","","","","","",""
"2019","104090","101977","Signal Hill Petroleum Facilities","Oil and Gas Production","211111","Crude Petroleum and Natural Gas Extraction","1215 East 29th Street , Signal Hill, CA 90755","Signal Hill","California","90755","33.811","-118.175","CA06037573402","Los Angeles","South Coast AQMD","South Coast","Yes","32,561","32,561","0","32,427","5.44","0.06","31,512","17.3","4.6","0.2","1.4","1.4","156.09","1.21","0","3.72","555","0.063","0.034","0.005"
"2019","104136","62548","Newark Pacific Paperboard (opt-in 2013)","Other Combustion Source","322130","Paperboard Mills","6001 S Eastern Ave , Los Angeles, CA 90040","Los Angeles","California","90040","33.982","-118.165","CA06037533703","Los Angeles","South Coast AQMD","South Coast","Yes","23,996","23,996","0","23,973","0.45","0.05","23,996","14.1","4.3","0.1","3.6","2.9","29.7","16.7","0","12.9","3,603","","","0.002"
"2019","104197","8547","Quemetco, Inc.","Other Combustion Source","331492","Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)","720 South 7th Avenue , City of Industry, CA 91746","City of Industry","California","91746","34.025","-117.983","CA06037408202","Los Angeles","South Coast AQMD","South Coast","Yes","35,541","35,541","0","35,526","0.29","0.03","35,541","2.4","22.8","3.6","0.8","0.6","121","3.57","0.087","12.4","638","0.069","643","11.3"
"2019","104206","105903","Prime Wheel Corporation","Other Combustion Source","336390","Other Motor Vehicle Parts Manufacturing","17705 South Main Street , Gardena, CA 90248","Gardena","California","90248","33.87","-118.28","CA06037541002","Los Angeles","South Coast AQMD","South Coast","No","14,012","14,012","0","13,999","0.26","0.03","0","3.5","13.5","0.1","2.3","2.2","1.7","","","","3.6","","",""
"2019","104218","146536","Walnut Creek Energy, LLC","Electricity Generation","221112","Fossil Fuel Electric Power Generation","911 Bixby Drive , City of Industry, CA 91745","City of Industry","California","91745","34.008","-117.945","CA06037408202","Los Angeles","South Coast AQMD","South Coast","Yes","237,314","237,314","0","237,082","4.47","0.45","237,314","1.7","24.2","1.4","3.5","3.4","51.2","1.86","0","1.37","3,027","","","0"
"2019","104324","800409","Northrop Grumman Systems Corp. - Redondo Beach","Other Combustion Source","336414","Guided Missile and Space Vehicle Manufacturing","One Space Park , Redondo Beach, CA 90278","Redondo Beach","California","90278","33.891","-118.374","CA06037620501","Los Angeles","South Coast AQMD","South Coast","No","12,357","12,357","0","12,345","0.23","0.02","0","2.5","15.3","0.1","1.5","1.3","2.83","1.28","0.019","197","13.8","1.09","","0.023"
"2019","104329","16639","Shultz Steel Company","Other Combustion Source","331221","Rolled Steel Shape Manufacturing","5321 Firestone Blvd. , South Gate, CA 90280","South Gate","California","90280","33.95","-118.174","CA06037536104","Los Angeles","South Coast AQMD","South Coast","Yes","29,347","29,347","0","29,319","0.55","0.06","29,347","5.2","18.1","0.2","2.2","2.2","3.71","0.084","0.035","4.81","9.43","","","3.34"
"2019","104337","63180","Darling Ingredients Inc - Los Angeles","Other Combustion Source","311613","Rendering and Meat Byproduct Processing","2626 East 26th Street , Los Angeles, CA 90058","Los Angeles","California","90058","34.015","-118.225","CA06037206031","Los Angeles","South Coast AQMD","South Coast","No","20,578","20,578","0","20,558","0.39","0.04","0","0.8","1.5","0.1","1.1","1.1","0.527","","","","1.12","","",""
"2019","104349","83102","Custom Alloy Light Metals, Inc.","Other Combustion Source","331314","Secondary Smelting and Alloying of Aluminum","13329 Ector St. , Industry, CA 91746","Industry","California","91746","34.056","-117.987","CA06037407002","Los Angeles","South Coast AQMD","South Coast","No","11,417","11,417","0","11,405","0.22","0.02","0","1.4","7.8","0.1","2.8","2.7","23.8","5.44","","","33.1","","","0.078"
"2019","104361","800265","University of Southern California (USC) - University Park Campus (UPC)","Other Combustion Source","611310","Colleges, Universities, and Professional Schools","McClintock W 34th Vhilds Street , Los Angeles, CA 90089-3161","Los Angeles","California","90089","34.021","-118.285","CA06037222700","Los Angeles","South Coast AQMD","South Coast","No","23,405","23,405","0","23,382","0.44","0.04","0","1.6","22.1","0.1","1.7","1.7","6.34","0.992","0","139","16.9","","","0.016"
